,rpt_dt,addr_pct_cd,ofns_desc,loc_of_occur_desc,prem_typ_desc,latitude,longitude,lat_lon,coords_list
92,2020-08-03T00:00:00.000,25,PETIT LARCENY,,OTHER,40.80343468000007,-73.93308447999993,"{'latitude': '40.80343468000007', 'longitude': '-73.93308447999993'}","['40.80343468000007', '-73.93308447999993']"
93,2020-08-03T00:00:00.000,52,GRAND LARCENY,,STREET,40.874967670000046,-73.88760345899993,"{'latitude': '40.874967670000046', 'longitude': '-73.88760345899993'}","['40.874967670000046', '-73.88760345899993']"
94,2020-08-01T00:00:00.000,52,PETIT LARCENY,,STREET,40.86947047700004,-73.87986080399996,"{'latitude': '40.86947047700004', 'longitude': '-73.87986080399996'}","['40.86947047700004', '-73.87986080399996']"
95,2020-08-01T00:00:00.000,101,MURDER & NON-NEGL. MANSLAUGHTER,INSIDE,,40.606664855000076,-73.75614960299998,"{'latitude': '40.606664855000076', 'longitude': '-73.75614960299998'}","['40.606664855000076', '-73.75614960299998']"
96,2020-07-30T00:00:00.000,90,BURGLARY,FRONT OF,COMMERCIAL BUILDING,40.714081914000076,-73.95499422799998,"{'latitude': '40.714081914000076', 'longitude': '-73.95499422799998'}","['40.714081914000076', '-73.95499422799998']"
97,2020-07-30T00:00:00.000,70,SEX CRIMES,INSIDE,RESIDENCE - APT. HOUSE,40.63036654500007,-73.97371261299998,"{'latitude': '40.63036654500007', 'longitude': '-73.97371261299998'}","['40.63036654500007', '-73.97371261299998']"
98,2020-07-29T00:00:00.000,43,MISCELLANEOUS PENAL LAW,,STREET,40.81963906700002,-73.87612827499999,"{'latitude': '40.81963906700002', 'longitude': '-73.87612827499999'}","['40.81963906700002', '-73.87612827499999']"
99,2020-07-29T00:00:00.000,122,HARRASSMENT 2,,CEMETERY,40.59366512900005,-74.08089499399993,"{'latitude': '40.59366512900005', 'longitude': '-74.08089499399993'}","['40.59366512900005', '-74.08089499399993']"
100,2020-07-28T00:00:00.000,42,HARRASSMENT 2,INSIDE,CHAIN STORE,40.83152246500004,-73.89123261699996,"{'latitude': '40.83152246500004', 'longitude': '-73.89123261699996'}","['40.83152246500004', '-73.89123261699996']"
101,2020-07-27T00:00:00.000,114,PETIT LARCENY,,STREET,40.760151300000075,-73.90699726399998,"{'latitude': '40.760151300000075', 'longitude': '-73.90699726399998'}","['40.760151300000075', '-73.90699726399998']"
102,2020-07-27T00:00:00.000,33,SEX CRIMES,INSIDE,RESIDENCE - APT. HOUSE,40.83990820100007,-73.93608358699998,"{'latitude': '40.83990820100007', 'longitude': '-73.93608358699998'}","['40.83990820100007', '-73.93608358699998']"
103,2020-07-26T00:00:00.000,75,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.67824325500004,-73.89550970099998,"{'latitude': '40.67824325500004', 'longitude': '-73.89550970099998'}","['40.67824325500004', '-73.89550970099998']"
104,2020-07-26T00:00:00.000,47,CRIMINAL MISCHIEF & RELATED OF,OPPOSITE OF,STREET,40.87452356500006,-73.86505170299995,"{'latitude': '40.87452356500006', 'longitude': '-73.86505170299995'}","['40.87452356500006', '-73.86505170299995']"
