Borough,FIPS County Code,NTA Code,Name,2010 Total Population,2010 Total Acres,2010 Persons Per Acre
Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,"24,739",1595.16,15.5
Queens,81,QN46,Bayside-Bayside Hills,"43,808",1857.24,23.6
Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,"21,751",1071.49,20.3
Queens,81,QN48,Auburndale,"19,996",785.35,25.5
Queens,81,QN49,Whitestone,"30,773",1584.85,19.4
Queens,81,QN50,Elmhurst-Maspeth,"25,521",501.77,50.9
Queens,81,QN51,Murray Hill,"51,739",1201.56,43.1
Queens,81,QN52,East Flushing,"26,982",676.46,39.9
Queens,81,QN53,Woodhaven,"56,674",853.08,66.4
Queens,81,QN54,Richmond Hill,"62,982",1171.55,53.8
Queens,81,QN55,South Ozone Park,"75,878",1878.12,40.4
Queens,81,QN56,Ozone Park,"21,376",576.32,37.1
Queens,81,QN57,Lindenwood-Howard Beach,"26,148",1471.79,17.8
Queens,81,QN60,Kew Gardens,"23,278",469.74,49.6
Queens,81,QN61,Jamaica,"53,751",1084.85,49.5
Queens,81,QN62,Queensboro Hill,"20,800",606.14,34.3
Queens,81,QN63,Woodside,"45,099",649.22,69.5
Queens,81,QN66,Laurelton,"24,453",909.17,26.9
Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,"20,030",540.94,37
Queens,81,QN70,Astoria,"78,793",902.94,87.3
Queens,81,QN71,Old Astoria,"27,814",362.67,76.7
Queens,81,QN72,Steinway,"47,534",1290.59,36.8
Queens,81,QN76,Baisley Park,"34,603",969.01,35.7
Queens,81,QN98,Airport,0,5151,0
Queens,81,QN99,park-cemetery-etc-Queens,436,7126.53,0.1
Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,"27,770",3292.86,8.4
Staten Island,85,SI05,New Springville-Bloomfield-Travis,"39,597",7083.27,5.6
Staten Island,85,SI07,Westerleigh,"24,102",1449.46,16.6
Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,"22,460",870.28,25.8
Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,"23,313",3432.93,6.8
Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,"31,474",2090.79,15.1
Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,"16,079",986.63,16.3
Staten Island,85,SI22,West New Brighton-New Brighton-St. George,"33,551",1403.06,23.9
Staten Island,85,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"30,714",4187.63,7.3
Staten Island,85,SI25,Oakwood-Oakwood Beach,"22,049",1297.05,17
Staten Island,85,SI28,Port Richmond,"20,191",840.52,24
Staten Island,85,SI32,Rossville-Woodrow,"20,763",1488.9,13.9
Staten Island,85,SI35,New Brighton-Silver Lake,"17,525",1081.49,16.2
Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,"24,835",1545.92,16.1
Staten Island,85,SI37,Stapleton-Rosebank,"26,453",1254.18,21.1
Staten Island,85,SI45,New Dorp-Midland Beach,"21,896",1269.49,17.2
Staten Island,85,SI48,Arden Heights,"25,238",1156.99,21.8
Staten Island,85,SI54,Great Kills,"40,720",2076.96,19.6
Staten Island,85,SI99,park-cemetery-etc-Staten Island,0,548.61,0.0
