Borough,FIPS_County_Code,ntacode,Name,TotalPop2010,TotalAcres2010,PPA2010,Pop20t29,Pop20t29P,MdHHIncE
Manhattan,61,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,70150,851.67,82.4,15704,20.4,114710
Manhattan,61,MN14,Lincoln Square,61489,371,165.7,6768,10.8,130237
Manhattan,61,MN15,Clinton,45884,422.45,108.6,11194,22.5,85154
Manhattan,61,MN17,Midtown-Midtown South,28630,692.81,41.3,6290,22.6,130486
Manhattan,61,MN19,Turtle Bay-East Midtown,51231,410.95,124.7,9432,18.8,136326
Manhattan,61,MN20,Murray Hill-Kips Bay,50742,334.93,151.5,13093,27.4,108247
Manhattan,61,MN21,Gramercy,27988,171.71,163,7815,29,121208
Manhattan,61,MN22,East Village,44136,250.02,176.5,13555,31.9,77691
Manhattan,61,MN23,West Village,66880,583.47,114.6,12352,18.7,133245
Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,42742,581.62,73.5,8045,18.9,129525
Manhattan,61,MN25,Battery Park City-Lower Manhattan,39699,479.77,82.7,10047,22,162555
Manhattan,61,MN27,Chinatown,47844,332.27,144,7967,18,38915
Manhattan,61,MN28,Lower East Side,72957,535.91,136.1,10325,15.1,31278
Manhattan,61,MN31,Lenox Hill-Roosevelt Island,80771,511.71,157.8,11360,13.9,111563
Manhattan,61,MN32,Yorkville,77942,319.14,244.2,14694,18.8,111060
Manhattan,61,MN33,East Harlem South,57902,389.41,148.7,11396,19,38471
Manhattan,61,MN34,East Harlem North,58019,573.94,101.1,11026,17.6,30241
Manhattan,61,MN35,Washington Heights North,67136,525.9,127.7,13291,18.2,53885
Manhattan,61,MN36,Washington Heights South,84438,533.01,158.4,20435,21.8,50880
Manhattan,61,MN40,Upper East Side-Carnegie Hill,61207,460.66,132.9,4856,8.7,173847
Manhattan,61,MN50,Stuyvesant Town-Cooper Village,21049,132.9,158.4,5719,26,109395
Manhattan,61,MN99,park-cemetery-etc-Manhattan,1849,1940.99,1,216,11.4,
Queens,81,QN01,South Jamaica,38894,918.87,42.3,7316,16.9,56179
Queens,81,QN02,Springfield Gardens North,25409,652.77,38.9,3848,13.9,60039
Queens,81,QN03,Springfield Gardens South-Brookville,20132,991.81,20.3,3153,14.1,82539
Queens,81,QN05,Rosedale,25063,1354.44,18.5,4184,16,89938
Queens,81,QN06,Jamaica Estates-Holliswood,25480,984.39,25.9,3105,11.7,70567
Queens,81,QN07,Hollis,20269,525.1,38.6,3340,15.5,74215
Queens,81,QN08,St. Albans,48593,1778.68,27.3,7428,14,77454
Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28018,2033.88,13.8,2537,9.1,83423
Queens,81,QN12,Hammels-Arverne-Edgemere,36885,1474.08,25,5666,13.7,42461
Queens,81,QN15,Far Rockaway-Bayswater,50058,1251,40,8515,15,50213
Queens,81,QN17,Forest Hills,83728,1328.22,63,9079,10.3,78239
Queens,81,QN18,Rego Park,28260,455.74,62,3259,11.7,63494
Queens,81,QN19,Glendale,32496,686.86,47.3,4380,12.3,79417
Queens,81,QN20,Ridgewood,69317,1156.31,59.9,13010,17.2,67804
Queens,81,QN21,Middle Village,37929,1329.29,28.5,4516,11.2,77492
Queens,81,QN22,Flushing,72008,853.06,84.4,9726,13.9,37513
Queens,81,QN23,College Point,24275,1148.84,21.1,3092,12.5,58810
Queens,81,QN25,Corona,57658,462.74,124.6,8957,15.3,48015
Queens,81,QN26,North Corona,52037,413.24,125.9,9254,17.1,55236
Queens,81,QN27,East Elmhurst,23150,443.53,52.2,2862,14.5,52230
Queens,81,QN28,Jackson Heights,108152,1101.36,98.2,12246,12.4,57014
Queens,81,QN29,Elmhurst,88427,750.28,117.9,12602,15.5,49910
Queens,81,QN30,Maspeth,30516,818.44,37.3,3817,11.8,73494
Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,63271,2340.44,27,11541,16.7,74845
Queens,81,QN33,Cambria Heights,18677,772.01,24.2,2777,13.1,96110
Queens,81,QN34,Queens Village,52504,1611.17,32.6,8274,15.3,77922
Queens,81,QN35,Briarwood-Jamaica Hills,39138,673.45,58.1,6772,15.6,66609
Queens,81,QN37,Kew Gardens Hills,37479,873.05,42.9,5784,15.3,66310
Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,34034,892.6,38.1,5772,15.6,53626
Queens,81,QN41,Fresh Meadows-Utopia,17812,636.38,28,2371,12.7,75716
Queens,81,QN42,Oakland Gardens,28237,1154.69,24.5,2770,9.1,76158
Queens,81,QN43,Bellerose,25287,1258.85,20.1,4008,14.4,87910
Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,22571,1047.46,21.5,3007,12.3,85796
Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,24739,1595.16,15.5,2531,9.9,90219
Queens,81,QN46,Bayside-Bayside Hills,43808,1857.24,23.6,5111,11.8,86098
Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,21751,1071.49,20.3,1908,8.4,82613
Queens,81,QN48,Auburndale,19996,785.35,25.5,2532,12.3,74404
Queens,81,QN49,Whitestone,30773,1584.85,19.4,3178,9.9,86871
Queens,81,QN50,Elmhurst-Maspeth,25521,501.77,50.9,2958,12.2,61374
Queens,81,QN51,Murray Hill,51739,1201.56,43.1,6410,12.8,53757
Queens,81,QN52,East Flushing,26982,676.46,39.9,3592,14,48313
Queens,81,QN53,Woodhaven,56674,853.08,66.4,9257,15.3,71580
Queens,81,QN54,Richmond Hill,62982,1171.55,53.8,11103,17.1,66302
Queens,81,QN55,South Ozone Park,75878,1878.12,40.4,13359,16.1,71205
Queens,81,QN56,Ozone Park,21376,576.32,37.1,3907,15.9,76381
Queens,81,QN57,Lindenwood-Howard Beach,26148,1471.79,17.8,3018,10.4,70611
Queens,81,QN60,Kew Gardens,23278,469.74,49.6,3245,14,68955
Queens,81,QN61,Jamaica,53751,1084.85,49.5,8121,15,48696
Queens,81,QN62,Queensboro Hill,20800,606.14,34.3,2698,13.3,56527
Queens,81,QN63,Woodside,45099,649.22,69.5,6146,14,58729
Queens,81,QN66,Laurelton,24453,909.17,26.9,3302,12.5,90763
Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,20030,540.94,37,3672,19.1,31284
Queens,81,QN70,Astoria,78793,902.94,87.3,16722,22.4,67047
Queens,81,QN71,Old Astoria,27814,362.67,76.7,5317,21.5,61029
Queens,81,QN72,Steinway,47534,1290.59,36.8,9405,19.5,74387
Queens,81,QN76,Baisley Park,34603,969.01,35.7,6457,16.5,69098
Queens,81,QN98,Airport,0,5151,0,0,0,
Queens,81,QN99,park-cemetery-etc-Queens,436,7126.53,0.1,37,23.3,48123
Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,27770,3292.86,8.4,3868,13.4,102210
Staten Island,85,SI05,New Springville-Bloomfield-Travis,39597,7083.27,5.6,5139,12.3,84731
Staten Island,85,SI07,Westerleigh,24102,1449.46,16.6,3344,13.9,90010
Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,22460,870.28,25.8,3570,16.4,52255
Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,23313,3432.93,6.8,2858,11.8,88743
Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31474,2090.79,15.1,5315,16.6,64767
Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,16079,986.63,16.3,2153,13.2,76911
Staten Island,85,SI22,West New Brighton-New Brighton-St. George,33551,1403.06,23.9,4458,13.8,50136
Staten Island,85,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,30714,4187.63,7.3,3887,12,92944
Staten Island,85,SI25,Oakwood-Oakwood Beach,22049,1297.05,17,2565,12.5,78000
Staten Island,85,SI28,Port Richmond,20191,840.52,24,3308,17,73938
Staten Island,85,SI32,Rossville-Woodrow,20763,1488.9,13.9,2832,12.8,101093
Staten Island,85,SI35,New Brighton-Silver Lake,17525,1081.49,16.2,2030,11.8,78344
Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,24835,1545.92,16.1,3432,13.5,69516
Staten Island,85,SI37,Stapleton-Rosebank,26453,1254.18,21.1,3797,15,54697
Staten Island,85,SI45,New Dorp-Midland Beach,21896,1269.49,17.2,2575,12.3,84353
Staten Island,85,SI48,Arden Heights,25238,1156.99,21.8,3083,11.4,89096
Staten Island,85,SI54,Great Kills,40720,2076.96,19.6,5006,11.8,94993
Staten Island,85,SI99,park-cemetery-etc-Staten Island,0,548.61,0,0,0,0
